2023-06-17 16:46:59,864 - INFO: Server started.
2023-06-17 16:46:59,864 - INFO: Action: Sending command - Command: command
2023-06-17 16:47:00,766 - ERROR: No response from drone for command: command
2023-06-17 16:47:00,767 - INFO: Action: Initiating Drone at 192.168.10.1
2023-06-17 16:47:01,769 - INFO: Action: Sending command - Command: streamon
2023-06-17 16:47:02,672 - ERROR: No response from drone for command: streamon
2023-06-17 16:47:02,672 - INFO: Action: Turning Stream On at 192.168.10.1
2023-06-17 16:47:02,673 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,674 - INFO: Action: Receiving response - Response: b'ok'
2023-06-17 16:47:02,678 - INFO: Starting video streaming.
2023-06-17 16:47:02,678 - INFO: Setting drone speed to 100 cm/s
2023-06-17 16:47:02,679 - INFO: Action: Sending command - Command: speed 100
2023-06-17 16:47:02,955 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,956 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,956 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,957 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,966 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,967 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,967 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,968 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,968 - INFO: Received video frame of size 989 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,985 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,985 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,985 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,987 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,988 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,989 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,989 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,990 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,990 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,990 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,990 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,991 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:02,991 - INFO: Received video frame of size 810 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,018 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,020 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,022 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
2023-06-17 16:47:03,023 - INFO: Received video frame of size 1460 from ('192.168.10.1', 62512).
